,2024-12-31 00:00:00,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00,Ticker,2024-06-30 00:00:00,2023-06-30 00:00:00,2022-06-30 00:00:00,2021-06-30 00:00:00,2020-06-30 00:00:00,2024-03-31 00:00:00,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,2024-05-31 00:00:00,2023-05-31 00:00:00,2022-05-31 00:00:00,2021-05-31 00:00:00,2020-05-31 00:00:00
Net Income Common Stockholders,22917000000.0,22432000000.0,14346000000.0,12607000000.0,,0005.HK,,,,,,,,,,,,,,
Otherunder Preferred Stock Dividend,1062000000.0,1101000000.0,1213000000.0,1303000000.0,,0005.HK,,,,,,,,,,,,,,
Preferred Stock Dividends,,,,7000000.0,90000000.0,0005.HK,,,,,,,,,,,,,,
Net Income,23979000000.0,23533000000.0,15559000000.0,13917000000.0,,0005.HK,,,,,,,,,,,,,,
Minority Interests,-1020000000.0,-1026000000.0,-690000000.0,-776000000.0,,0005.HK,,,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,24999000000.0,24559000000.0,16249000000.0,14693000000.0,,0005.HK,,,,,,,,,,,,,,
Net Income Continuous Operations,24999000000.0,24559000000.0,16249000000.0,14693000000.0,,0005.HK,,,,,,,,,,,,,,
Tax Provision,7310000000.0,5789000000.0,809000000.0,4213000000.0,,0005.HK,,,,,,,,,,,,,,
Pretax Income,32309000000.0,30348000000.0,17058000000.0,18906000000.0,,0005.HK,,,,,,,,,,,,,,
Special Income Charges,-2062000000.0,-1370000000.0,-5972000000.0,-3204000000.0,,0005.HK,,,,,,,,,,,,,,
Other Special Charges,1951000000.0,382000000.0,2696000000.0,-113000000.0,,0005.HK,,,,,,,,,,,,,,
Write Off,0.0,3000000000.0,0.0,587000000.0,,0005.HK,,,,,,,,,,,,,,
Impairment Of Capital Assets,,,-4000000.0,,1049000000.0,0005.HK,,,,,,,,,,,,,,
Restructuring And Mergern Acquisition,34000000.0,-1727000000.0,3129000000.0,2143000000.0,,0005.HK,,,,,,,,,,,,,,
Gain On Sale Of Security,-2070000000.0,-3730000000.0,7906000000.0,1076000000.0,,0005.HK,,,,,,,,,,,,,,
Operating Expense,32733000000.0,32170000000.0,29654000000.0,46111000000.0,,0005.HK,,,,,,,,,,,,,,
Other Operating Expenses,-310000000.0,100000000.0,-3047000000.0,-2310000000.0,,0005.HK,,,,,,,,,,,,,,
Depreciation And Amortization In Income Statement,4080000000.0,3467000000.0,3850000000.0,3699000000.0,,0005.HK,,,,,,,,,,,,,,
Amortization,2235000000.0,1827000000.0,1701000000.0,1438000000.0,,0005.HK,,,,,,,,,,,,,,
Depreciation Income Statement,1845000000.0,1640000000.0,2149000000.0,2261000000.0,,0005.HK,,,,,,,,,,,,,,
Selling General And Administration,10498000000.0,10383000000.0,10848000000.0,11592000000.0,,0005.HK,,,,,,,,,,,,,,
General And Administrative Expense,10498000000.0,10383000000.0,10848000000.0,11592000000.0,,0005.HK,,,,,,,,,,,,,,
Insurance And Claims,0.0,0.0,0.0,14388000000.0,,0005.HK,,,,,,,,,,,,,,
Total Revenue,67606000000.0,64528000000.0,53545000000.0,64247000000.0,,0005.HK,,,,,,,,,,,,,,
Operating Revenue,67606000000.0,64528000000.0,53545000000.0,64247000000.0,,0005.HK,,,,,,,,,,,,,,
Tax Effect Of Unusual Items,-2769106.310079,-1240338.224322,-3069712.855019,-8633628.318584,,0011.HK,,,,,,,,,,,,,,
Tax Rate For Calcs,0.125868,0.112758,0.118066,0.148856,,0011.HK,,,,,,,,,,,,,,
Total Unusual Items,-22000000.0,-11000000.0,-26000000.0,-58000000.0,,0011.HK,,,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,-22000000.0,-11000000.0,-26000000.0,-58000000.0,,0011.HK,,,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,18379000000.0,17848000000.0,11286000000.0,13960000000.0,,0011.HK,,,,,,,,,,,,,,
Reconciled Depreciation,3133000000.0,2849000000.0,2676000000.0,2538000000.0,,0011.HK,,,,,,,,,,,,,,
Net Interest Income,30784000000.0,32295000000.0,25551000000.0,23822000000.0,,0011.HK,,,,,,,,,,,,,,
Interest Expense,30493000000.0,27144000000.0,9231000000.0,4685000000.0,,0011.HK,,,,,,,,,,,,,,
Interest Income,61277000000.0,59439000000.0,34782000000.0,28507000000.0,,0011.HK,,,,,,,,,,,,,,
Normalized Income,18398230893.689922,17857759661.775677,11308930287.144981,14009366371.681416,,0011.HK,,,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,18379000000.0,17848000000.0,11286000000.0,13960000000.0,,0011.HK,,,,,,,,,,,,,,
Diluted Average Shares,1895522605.0,1911842736.0,1911842736.0,1911842736.0,,0011.HK,,,,,,,,,,,,,,
Basic Average Shares,1895522605.0,1911842736.0,1911842736.0,1911842736.0,,0011.HK,,,,,,,,,,,,,,
Diluted EPS,9.33,8.97,5.53,6.93,,0011.HK,,,,,,,,,,,,,,
Basic EPS,9.33,8.97,5.53,6.93,,0011.HK,,,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,17680000000.0,17140000000.0,11286000000.0,13960000000.0,,0011.HK,,,,,,,,,,,,,,
Net Income Common Stockholders,17680000000.0,17140000000.0,11286000000.0,13960000000.0,,0011.HK,,,,,,,,,,,,,,
