,2024-12-31 00:00:00,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00,Ticker,2024-06-30 00:00:00,2023-06-30 00:00:00,2022-06-30 00:00:00,2021-06-30 00:00:00,2020-06-30 00:00:00,2024-03-31 00:00:00,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,2024-05-31 00:00:00,2023-05-31 00:00:00,2022-05-31 00:00:00,2021-05-31 00:00:00,2020-05-31 00:00:00
Basic EPS,,,0.967,0.756,0.485,1209.HK,,,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,,2928749000.0,2206126000.0,1724925000.0,817710000.0,1209.HK,,,,,,,,,,,,,,
Net Income Common Stockholders,,2928749000.0,2206126000.0,1724925000.0,817710000.0,1209.HK,,,,,,,,,,,,,,
Otherunder Preferred Stock Dividend,,0.0,0.0,0.0,0.0,1209.HK,,,,,,,,,,,,,,
Net Income,,2928749000.0,2206126000.0,1724925000.0,817710000.0,1209.HK,,,,,,,,,,,,,,
Minority Interests,,-13891000.0,-7122000.0,-1145000.0,0.0,1209.HK,,,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,,2942640000.0,2213248000.0,1726070000.0,817710000.0,1209.HK,,,,,,,,,,,,,,
Net Income Continuous Operations,,2942640000.0,2213248000.0,1726070000.0,817710000.0,1209.HK,,,,,,,,,,,,,,
Tax Provision,,969484000.0,692905000.0,610486000.0,317216000.0,1209.HK,,,,,,,,,,,,,,
Pretax Income,,3912124000.0,2906153000.0,2336556000.0,1134926000.0,1209.HK,,,,,,,,,,,,,,
Other Non Operating Income Expenses,,33070000.0,-17330000.0,-8589000.0,358000.0,1209.HK,,,,,,,,,,,,,,
Special Income Charges,,3559000.0,452000.0,12323000.0,29893000.0,1209.HK,,,,,,,,,,,,,,
Other Special Charges,,-3559000.0,-452000.0,-12323000.0,-28025000.0,1209.HK,,,,,,,,,,,,,,
Write Off,,,,0.0,-1868000.0,1209.HK,,,,,,,,,,,,,,
Net Non Operating Interest Income Expense,,277984000.0,337356000.0,300659000.0,-57044000.0,1209.HK,,,,,,,,,,,,,,
Interest Expense Non Operating,,117202000.0,87224000.0,75642000.0,72129000.0,1209.HK,,,,,,,,,,,,,,
Interest Income Non Operating,,395186000.0,424580000.0,376301000.0,15085000.0,1209.HK,,,,,,,,,,,,,,
Operating Income,,3555509000.0,2541197000.0,1959342000.0,1111041000.0,1209.HK,,,,,,,,,,,,,,
Operating Expense,,1138769000.0,1069737000.0,799176000.0,715992000.0,1209.HK,,,,,,,,,,,,,,
Selling General And Administration,,1234512000.0,1203995000.0,877059000.0,797412000.0,1209.HK,,,,,,,,,,,,,,
Selling And Marketing Expense,,284707000.0,151232000.0,58100000.0,50287000.0,1209.HK,,,,,,,,,,,,,,
General And Administrative Expense,,949805000.0,1052763000.0,818959000.0,747125000.0,1209.HK,,,,,,,,,,,,,,
Gross Profit,,4694278000.0,3610934000.0,2758518000.0,1827033000.0,1209.HK,,,,,,,,,,,,,,
Cost Of Revenue,,10072674000.0,8405245000.0,6116866000.0,4951878000.0,1209.HK,,,,,,,,,,,,,,
Total Revenue,,14766952000.0,12016179000.0,8875384000.0,6778911000.0,1209.HK,,,,,,,,,,,,,,
Operating Revenue,,14766952000.0,12016179000.0,8875384000.0,6778911000.0,1209.HK,,,,,,,,,,,,,,
Tax Effect Of Unusual Items,,-64949844.344517,-104445000.0,-6355746.936072,-70290000.0,1997.HK,,,,,,,,,,,,,,
Tax Rate For Calcs,,0.196818,0.165,0.264823,0.165,1997.HK,,,,,,,,,,,,,,
Normalized EBITDA,,8619000000.0,-5520000000.0,7030000000.0,-5317000000.0,1997.HK,,,,,,,,,,,,,,
Total Unusual Items,,-330000000.0,-633000000.0,-24000000.0,-426000000.0,1997.HK,,,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,,-330000000.0,-633000000.0,-24000000.0,-426000000.0,1997.HK,,,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,,4766000000.0,-8856000000.0,4391000000.0,-7854000000.0,1997.HK,,,,,,,,,,,,,,
Reconciled Depreciation,,246000000.0,280000000.0,330000000.0,294000000.0,1997.HK,,,,,,,,,,,,,,
Reconciled Cost Of Revenue,,2622000000.0,2481000000.0,5338000000.0,4378000000.0,1997.HK,,,,,,,,,,,,,,
EBITDA,,8289000000.0,-6153000000.0,7006000000.0,-5743000000.0,1997.HK,,,,,,,,,,,,,,
EBIT,,8043000000.0,-6433000000.0,6676000000.0,-6037000000.0,1997.HK,,,,,,,,,,,,,,
Net Interest Income,,-2333000000.0,-1228000000.0,-736000000.0,-981000000.0,1997.HK,,,,,,,,,,,,,,
Interest Expense,,2261000000.0,1142000000.0,638000000.0,896000000.0,1997.HK,,,,,,,,,,,,,,
Normalized Income,,5031050155.655483,-8327445000.0,4408644253.063928,-7498290000.0,1997.HK,,,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,,4766000000.0,-8856000000.0,4391000000.0,-7854000000.0,1997.HK,,,,,,,,,,,,,,
Total Expenses,,3313000000.0,3618000000.0,6979000000.0,5542000000.0,1997.HK,,,,,,,,,,,,,,
Total Operating Income As Reported,,9993000000.0,8841000000.0,9064000000.0,9973000000.0,1997.HK,,,,,,,,,,,,,,
Diluted Average Shares,,3036000000.0,3036000000.0,3036000000.0,3036000000.0,1997.HK,,,,,,,,,,,,,,
Basic Average Shares,,3036000000.0,3036000000.0,3036000000.0,3036000000.0,1997.HK,,,,,,,,,,,,,,
Diluted EPS,,1.57,-2.92,1.45,-2.59,1997.HK,,,,,,,,,,,,,,
Basic EPS,,1.57,-2.92,1.45,-2.59,1997.HK,,,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,,4766000000.0,-8856000000.0,4391000000.0,-7854000000.0,1997.HK,,,,,,,,,,,,,,
Net Income Common Stockholders,,4766000000.0,-8856000000.0,4391000000.0,-7854000000.0,1997.HK,,,,,,,,,,,,,,
Otherunder Preferred Stock Dividend,,0.0,0.0,0.0,0.0,1997.HK,,,,,,,,,,,,,,
Net Income,,4766000000.0,-8856000000.0,4391000000.0,-7854000000.0,1997.HK,,,,,,,,,,,,,,
Minority Interests,,122000000.0,87000000.0,-48000000.0,284000000.0,1997.HK,,,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,,4644000000.0,-8943000000.0,4439000000.0,-8138000000.0,1997.HK,,,,,,,,,,,,,,
Net Income Continuous Operations,,4644000000.0,-8943000000.0,4439000000.0,-8138000000.0,1997.HK,,,,,,,,,,,,,,
Tax Provision,,1138000000.0,1368000000.0,1599000000.0,1205000000.0,1997.HK,,,,,,,,,,,,,,
Pretax Income,,5782000000.0,-7575000000.0,6038000000.0,-6933000000.0,1997.HK,,,,,,,,,,,,,,
Other Non Operating Income Expenses,,,426000000.0,62000000.0,-1459000000.0,1997.HK,,,,,,,,,,,,,,
Special Income Charges,,-493000000.0,,,,1997.HK,,,,,,,,,,,,,,
Impairment Of Capital Assets,,493000000.0,,,,1997.HK,,,,,,,,,,,,,,
Net Non Operating Interest Income Expense,,-2333000000.0,-1228000000.0,-736000000.0,-981000000.0,1997.HK,,,,,,,,,,,,,,
Total Other Finance Cost,,72000000.0,86000000.0,98000000.0,85000000.0,1997.HK,,,,,,,,,,,,,,
Interest Expense Non Operating,,2261000000.0,1142000000.0,638000000.0,896000000.0,1997.HK,,,,,,,,,,,,,,
Operating Income,,9993000000.0,8841000000.0,9064000000.0,9973000000.0,1997.HK,,,,,,,,,,,,,,
Operating Expense,,691000000.0,1137000000.0,1641000000.0,1164000000.0,1997.HK,,,,,,,,,,,,,,
Depreciation And Amortization In Income Statement,,246000000.0,280000000.0,330000000.0,294000000.0,1997.HK,,,,,,,,,,,,,,
Depreciation Income Statement,,246000000.0,280000000.0,330000000.0,294000000.0,1997.HK,,,,,,,,,,,,,,
Selling General And Administration,,445000000.0,857000000.0,1311000000.0,870000000.0,1997.HK,,,,,,,,,,,,,,
Selling And Marketing Expense,,274000000.0,562000000.0,1089000000.0,565000000.0,1997.HK,,,,,,,,,,,,,,
General And Administrative Expense,,171000000.0,295000000.0,222000000.0,305000000.0,1997.HK,,,,,,,,,,,,,,
Gross Profit,,10684000000.0,9978000000.0,10705000000.0,11137000000.0,1997.HK,,,,,,,,,,,,,,
Cost Of Revenue,,2622000000.0,2481000000.0,5338000000.0,4378000000.0,1997.HK,,,,,,,,,,,,,,
Total Revenue,,13306000000.0,12459000000.0,16043000000.0,15515000000.0,1997.HK,,,,,,,,,,,,,,
Operating Revenue,,13306000000.0,12459000000.0,16043000000.0,15515000000.0,1997.HK,,,,,,,,,,,,,,
Tax Effect Of Unusual Items,,-1546890401.059858,-330590376.061464,-453029132.124959,1181479268.087964,0001.HK,,,,,,,,,,,,,,
Tax Rate For Calcs,,0.090419,0.159321,0.052222,0.103168,0001.HK,,,,,,,,,,,,,,
Normalized EBITDA,,102252000000.0,90659000000.0,91375000000.0,82453000000.0,0001.HK,,,,,,,,,,,,,,
Total Unusual Items,,-17108000000.0,9964000000.0,6797000000.0,11452000000.0,0001.HK,,,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,,-17108000000.0,-2075000000.0,-8675000000.0,11452000000.0,0001.HK,,,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,,23500000000.0,36680000000.0,33484000000.0,29143000000.0,0001.HK,,,,,,,,,,,,,,
Reconciled Depreciation,,40083000000.0,39788000000.0,45256000000.0,41658000000.0,0001.HK,,,,,,,,,,,,,,
Reconciled Cost Of Revenue,,135174000000.0,131402000000.0,130414000000.0,119652000000.0,0001.HK,,,,,,,,,,,,,,
EBITDA,,85144000000.0,100623000000.0,98172000000.0,93905000000.0,0001.HK,,,,,,,,,,,,,,
EBIT,,45061000000.0,60835000000.0,52916000000.0,52247000000.0,0001.HK,,,,,,,,,,,,,,
Net Interest Income,,-12227000000.0,-9052000000.0,-10608000000.0,-10850000000.0,0001.HK,,,,,,,,,,,,,,
Interest Expense,,11849000000.0,8902000000.0,10214000000.0,10548000000.0,0001.HK,,,,,,,,,,,,,,
Interest Income,,93000000.0,242000000.0,298000000.0,259000000.0,0001.HK,,,,,,,,,,,,,,
Normalized Income,,39061109598.94014,50463409623.93854,57177970867.87504,18872479268.087963,0001.HK,,,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,,23500000000.0,36680000000.0,33484000000.0,29143000000.0,0001.HK,,,,,,,,,,,,,,
Total Expenses,,229156000000.0,218869000000.0,227956000000.0,212461000000.0,0001.HK,,,,,,,,,,,,,,
Rent Expense Supplemental,,3319000000.0,3802000000.0,4103000000.0,4414000000.0,0001.HK,,,,,,,,,,,,,,
Diluted Average Shares,,3830044500.0,3834106390.0,3847582641.0,3856240500.0,0001.HK,,,,,,,,,,,,,,
Basic Average Shares,,3830044500.0,3834106390.0,3847582641.0,3856240500.0,0001.HK,,,,,,,,,,,,,,
Diluted EPS,,6.14,9.57,8.7,7.56,0001.HK,,,,,,,,,,,,,,
Basic EPS,,6.14,9.57,8.7,7.56,0001.HK,,,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,,23500000000.0,36680000000.0,33484000000.0,29143000000.0,0001.HK,,,,,,,,,,,,,,
Net Income Common Stockholders,,23500000000.0,36680000000.0,33484000000.0,29143000000.0,0001.HK,,,,,,,,,,,,,,
Otherunder Preferred Stock Dividend,,0.0,0.0,0.0,0.0,0001.HK,,,,,,,,,,,,,,
Net Income,,23500000000.0,36680000000.0,33484000000.0,29143000000.0,0001.HK,,,,,,,,,,,,,,
Minority Interests,,-6709000000.0,-6979000000.0,-6988000000.0,-8254000000.0,0001.HK,,,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,,30209000000.0,43659000000.0,40472000000.0,37397000000.0,0001.HK,,,,,,,,,,,,,,
Net Income Continuous Operations,,30209000000.0,43659000000.0,40472000000.0,37397000000.0,0001.HK,,,,,,,,,,,,,,
Tax Provision,,3003000000.0,8274000000.0,2230000000.0,4302000000.0,0001.HK,,,,,,,,,,,,,,
Pretax Income,,33212000000.0,51933000000.0,42702000000.0,41699000000.0,0001.HK,,,,,,,,,,,,,,
Other Non Operating Income Expenses,,,188000000.0,497000000.0,737000000.0,0001.HK,,,,,,,,,,,,,,
Special Income Charges,,-18937000000.0,-2590000000.0,-8675000000.0,11452000000.0,0001.HK,,,,,,,,,,,,,,
Other Special Charges,,82000000.0,-27440000000.0,-27008000000.0,-30537000000.0,0001.HK,,,,,,,,,,,,,,
Restructuring And Mergern Acquisition,,18855000000.0,17991000000.0,20211000000.0,19085000000.0,0001.HK,,,,,,,,,,,,,,
Net Non Operating Interest Income Expense,,-12227000000.0,-9052000000.0,-10608000000.0,-10850000000.0,0001.HK,,,,,,,,,,,,,,
Total Other Finance Cost,,471000000.0,392000000.0,692000000.0,561000000.0,0001.HK,,,,,,,,,,,,,,
Interest Expense Non Operating,,11849000000.0,8902000000.0,10214000000.0,10548000000.0,0001.HK,,,,,,,,,,,,,,
Interest Income Non Operating,,93000000.0,242000000.0,298000000.0,259000000.0,0001.HK,,,,,,,,,,,,,,
Operating Income,,46419000000.0,43628000000.0,52891000000.0,53935000000.0,0001.HK,,,,,,,,,,,,,,
Operating Expense,,93982000000.0,87467000000.0,97542000000.0,92809000000.0,0001.HK,,,,,,,,,,,,,,
Depreciation And Amortization In Income Statement,,36416000000.0,36324000000.0,41456000000.0,38935000000.0,0001.HK,,,,,,,,,,,,,,
Amortization,,4215000000.0,4227000000.0,5117000000.0,4150000000.0,0001.HK,,,,,,,,,,,,,,
Depreciation Income Statement,,32201000000.0,32097000000.0,36339000000.0,34785000000.0,0001.HK,,,,,,,,,,,,,,
Selling General And Administration,,15021000000.0,10171000000.0,14521000000.0,13965000000.0,0001.HK,,,,,,,,,,,,,,
Selling And Marketing Expense,,4783000000.0,4677000000.0,5109000000.0,3782000000.0,0001.HK,,,,,,,,,,,,,,
General And Administrative Expense,,10238000000.0,5494000000.0,9412000000.0,10183000000.0,0001.HK,,,,,,,,,,,,,,
Rent And Landing Fees,,3319000000.0,3802000000.0,4103000000.0,4414000000.0,0001.HK,,,,,,,,,,,,,,
Gross Profit,,140401000000.0,131095000000.0,150433000000.0,146744000000.0,0001.HK,,,,,,,,,,,,,,
Cost Of Revenue,,135174000000.0,131402000000.0,130414000000.0,119652000000.0,0001.HK,,,,,,,,,,,,,,
Total Revenue,,275575000000.0,262497000000.0,280847000000.0,266396000000.0,0001.HK,,,,,,,,,,,,,,
Operating Revenue,,275575000000.0,262497000000.0,280847000000.0,266396000000.0,0001.HK,,,,,,,,,,,,,,
Tax Effect Of Unusual Items,,-2526940.790762,-51313185.0,-13856141.50601,-15670710.0,0027.HK,,,,,,,,,,,,,,
Tax Rate For Calcs,,0.014755,0.165,0.058311,0.165,0027.HK,,,,,,,,,,,,,,
Normalized EBITDA,,10165704000.0,-849062000.0,4087077000.0,-816825000.0,0027.HK,,,,,,,,,,,,,,
Total Unusual Items,,-171264000.0,-310989000.0,-237625000.0,-94974000.0,0027.HK,,,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,,-171264000.0,-310989000.0,-237625000.0,-94974000.0,0027.HK,,,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,,6827956000.0,-3433770000.0,1326231000.0,-3973078000.0,0027.HK,,,,,,,,,,,,,,
Reconciled Depreciation,,2835702000.0,2088338000.0,2264113000.0,2816740000.0,0027.HK,,,,,,,,,,,,,,
Reconciled Cost Of Revenue,,14033295000.0,4434553000.0,8231242000.0,5656544000.0,0027.HK,,,,,,,,,,,,,,
EBITDA,,9994440000.0,-1160051000.0,3849452000.0,-911799000.0,0027.HK,,,,,,,,,,,,,,
EBIT,,7158738000.0,-3248389000.0,1585339000.0,-3728539000.0,0027.HK,,,,,,,,,,,,,,
Net Interest Income,,713309000.0,611438000.0,885437000.0,1117291000.0,0027.HK,,,,,,,,,,,,,,
Interest Expense,,181820000.0,103901000.0,64287000.0,34076000.0,0027.HK,,,,,,,,,,,,,,
Interest Income,,896626000.0,717874000.0,953400000.0,1155348000.0,0027.HK,,,,,,,,,,,,,,
Normalized Income,,6996693059.209238,-3174094185.0,1549999858.49399,-3893774710.0,0027.HK,,,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,,6827956000.0,-3433770000.0,1326231000.0,-3973078000.0,0027.HK,,,,,,,,,,,,,,
Total Expenses,,29383814000.0,14833095000.0,19535622000.0,18032658000.0,0027.HK,,,,,,,,,,,,,,
Rent Expense Supplemental,,7137000.0,7248000.0,,,0027.HK,,,,,,,,,,,,,,
Diluted Average Shares,,4371736335.0,4362354183.0,4361381893.0,4337820915.0,0027.HK,,,,,,,,,,,,,,
Basic Average Shares,,4370581724.0,4362354183.0,4352120295.0,4337820915.0,0027.HK,,,,,,,,,,,,,,
Diluted EPS,,1.562,-0.787,0.304,-0.916,0027.HK,,,,,,,,,,,,,,
Basic EPS,,1.562,-0.787,0.305,-0.916,0027.HK,,,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,,6827956000.0,-3433770000.0,1326231000.0,-3973078000.0,0027.HK,,,,,,,,,,,,,,
Net Income Common Stockholders,,6827956000.0,-3433770000.0,1326231000.0,-3973078000.0,0027.HK,,,,,,,,,,,,,,
Otherunder Preferred Stock Dividend,,0.0,0.0,0.0,0.0,0027.HK,,,,,,,,,,,,,,
Net Income,,6827956000.0,-3433770000.0,1326231000.0,-3973078000.0,0027.HK,,,,,,,,,,,,,,
Minority Interests,,-46020000.0,14407000.0,-106127000.0,-59835000.0,0027.HK,,,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,,6873976000.0,-3448177000.0,1432358000.0,-3913243000.0,0027.HK,,,,,,,,,,,,,,
Net Income Continuous Operations,,6873976000.0,-3448177000.0,1432358000.0,-3913243000.0,0027.HK,,,,,,,,,,,,,,
Tax Provision,,102942000.0,95887000.0,88694000.0,150628000.0,0027.HK,,,,,,,,,,,,,,
Pretax Income,,6976918000.0,-3352290000.0,1521052000.0,-3762615000.0,0027.HK,,,,,,,,,,,,,,
Other Non Operating Income Expenses,,59157000.0,67243000.0,66376000.0,60419000.0,0027.HK,,,,,,,,,,,,,,
Special Income Charges,,100840000.0,-105816000.0,-237625000.0,-94974000.0,0027.HK,,,,,,,,,,,,,,
Other Special Charges,,-100840000.0,92468000.0,237402000.0,94974000.0,0027.HK,,,,,,,,,,,,,,
Write Off,,,-1312000.0,,,0027.HK,,,,,,,,,,,,,,
Impairment Of Capital Assets,,0.0,13348000.0,223000.0,0.0,0027.HK,,,,,,,,,,,,,,
Net Non Operating Interest Income Expense,,713309000.0,611438000.0,885437000.0,1117291000.0,0027.HK,,,,,,,,,,,,,,
Total Other Finance Cost,,1497000.0,2535000.0,3676000.0,3981000.0,0027.HK,,,,,,,,,,,,,,
Interest Expense Non Operating,,181820000.0,103901000.0,64287000.0,34076000.0,0027.HK,,,,,,,,,,,,,,
Interest Income Non Operating,,896626000.0,717874000.0,953400000.0,1155348000.0,0027.HK,,,,,,,,,,,,,,
Operating Income,,6300439000.0,-3359302000.0,159908000.0,-5156559000.0,0027.HK,,,,,,,,,,,,,,
Operating Expense,,15350519000.0,10398542000.0,11304380000.0,12376114000.0,0027.HK,,,,,,,,,,,,,,
Other Operating Expenses,,3124140000.0,2040638000.0,2567810000.0,2366421000.0,0027.HK,,,,,,,,,,,,,,
Depreciation And Amortization In Income Statement,,2835702000.0,2088338000.0,2264113000.0,2816740000.0,0027.HK,,,,,,,,,,,,,,
Amortization,,302633000.0,168492000.0,,,0027.HK,,,,,,,,,,,,,,
Depreciation Income Statement,,2533069000.0,1919846000.0,2264113000.0,2816740000.0,0027.HK,,,,,,,,,,,,,,
Selling General And Administration,,2187819000.0,539347000.0,706703000.0,482176000.0,0027.HK,,,,,,,,,,,,,,
Selling And Marketing Expense,,2202705000.0,621619000.0,761534000.0,482176000.0,0027.HK,,,,,,,,,,,,,,
General And Administrative Expense,,-14886000.0,-82272000.0,-54831000.0,1114213000.0,0027.HK,,,,,,,,,,,,,,
Gross Profit,,21650958000.0,7039240000.0,11464288000.0,7219555000.0,0027.HK,,,,,,,,,,,,,,
Cost Of Revenue,,14033295000.0,4434553000.0,8231242000.0,5656544000.0,0027.HK,,,,,,,,,,,,,,
Total Revenue,,35684253000.0,11473793000.0,19695530000.0,12876099000.0,0027.HK,,,,,,,,,,,,,,
Operating Revenue,,35684253000.0,11473793000.0,19695530000.0,12876099000.0,0027.HK,,,,,,,,,,,,,,
Tax Effect Of Unusual Items,,-149308000.0,-157550000.0,-7371000.0,42570000.0,0066.HK,,,,,,,,,,,,,,
Tax Rate For Calcs,,0.163,0.137,0.189,0.165,0066.HK,,,,,,,,,,,,,,
Normalized EBITDA,,12477000000.0,14334000000.0,13330000000.0,-2360000000.0,0066.HK,,,,,,,,,,,,,,
Total Unusual Items,,-916000000.0,-1150000000.0,-39000000.0,258000000.0,0066.HK,,,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,,-916000000.0,-1150000000.0,-39000000.0,258000000.0,0066.HK,,,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,,7784000000.0,9827000000.0,9552000000.0,-4809000000.0,0066.HK,,,,,,,,,,,,,,
Reconciled Cost Of Revenue,,46069000000.0,44161000000.0,43112000000.0,41352000000.0,0066.HK,,,,,,,,,,,,,,
EBITDA,,11561000000.0,13184000000.0,13291000000.0,-2102000000.0,0066.HK,,,,,,,,,,,,,,
EBIT,,11561000000.0,13184000000.0,13291000000.0,-2102000000.0,0066.HK,,,,,,,,,,,,,,
Net Interest Income,,-1163000000.0,-1082000000.0,-1123000000.0,-1086000000.0,0066.HK,,,,,,,,,,,,,,
Interest Expense,,1898000000.0,1435000000.0,1351000000.0,1418000000.0,0066.HK,,,,,,,,,,,,,,
Interest Income,,777000000.0,396000000.0,273000000.0,384000000.0,0066.HK,,,,,,,,,,,,,,
Normalized Income,,8550692000.0,10819450000.0,9583629000.0,-5024430000.0,0066.HK,,,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,,7784000000.0,9827000000.0,9552000000.0,-4809000000.0,0066.HK,,,,,,,,,,,,,,
Total Expenses,,47777000000.0,45635000000.0,44433000000.0,42905000000.0,0066.HK,,,,,,,,,,,,,,
Rent Expense Supplemental,,155000000.0,155000000.0,156000000.0,284000000.0,0066.HK,,,,,,,,,,,,,,
Diluted Average Shares,,6208314965.0,6196797798.0,6187030555.0,6162529663.0,0066.HK,,,,,,,,,,,,,,
Basic Average Shares,,6202100097.0,6190902155.0,6181426675.0,6162529663.0,0066.HK,,,,,,,,,,,,,,
Diluted EPS,,1.25,1.59,1.54,-0.78,0066.HK,,,,,,,,,,,,,,
Basic EPS,,1.26,1.59,1.55,-0.78,0066.HK,,,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,,7784000000.0,9827000000.0,9552000000.0,-4809000000.0,0066.HK,,,,,,,,,,,,,,
Net Income Common Stockholders,,7784000000.0,9827000000.0,9552000000.0,-4809000000.0,0066.HK,,,,,,,,,,,,,,
Otherunder Preferred Stock Dividend,,0.0,0.0,0.0,0.0,0066.HK,,,,,,,,,,,,,,
Net Income,,7784000000.0,9827000000.0,9552000000.0,-4809000000.0,0066.HK,,,,,,,,,,,,,,
Minority Interests,,-304000000.0,-314000000.0,-127000000.0,12000000.0,0066.HK,,,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,,8088000000.0,10141000000.0,9679000000.0,-4821000000.0,0066.HK,,,,,,,,,,,,,,
Net Income Continuous Operations,,8088000000.0,10141000000.0,9679000000.0,-4821000000.0,0066.HK,,,,,,,,,,,,,,
Tax Provision,,1575000000.0,1608000000.0,2261000000.0,1301000000.0,0066.HK,,,,,,,,,,,,,,
Pretax Income,,9663000000.0,11749000000.0,11940000000.0,-3520000000.0,0066.HK,,,,,,,,,,,,,,
Other Non Operating Income Expenses,,-2355000000.0,-323000000.0,-260000000.0,,0066.HK,,,,,,,,,,,,,,
Special Income Charges,,-1022000000.0,-962000000.0,0.0,,0066.HK,,,,,,,,,,,,,,
Write Off,,1022000000.0,962000000.0,0.0,,0066.HK,,,,,,,,,,,,,,
Net Non Operating Interest Income Expense,,-1163000000.0,-1082000000.0,-1123000000.0,-1086000000.0,0066.HK,,,,,,,,,,,,,,
Total Other Finance Cost,,42000000.0,43000000.0,45000000.0,52000000.0,0066.HK,,,,,,,,,,,,,,
Interest Expense Non Operating,,1898000000.0,1435000000.0,1351000000.0,1418000000.0,0066.HK,,,,,,,,,,,,,,
Interest Income Non Operating,,777000000.0,396000000.0,273000000.0,384000000.0,0066.HK,,,,,,,,,,,,,,
Operating Income,,9205000000.0,2177000000.0,2769000000.0,-364000000.0,0066.HK,,,,,,,,,,,,,,
Operating Expense,,1708000000.0,1474000000.0,1321000000.0,1553000000.0,0066.HK,,,,,,,,,,,,,,
Other Operating Expenses,,371000000.0,305000000.0,222000000.0,444000000.0,0066.HK,,,,,,,,,,,,,,
Research And Development,,397000000.0,326000000.0,312000000.0,279000000.0,0066.HK,,,,,,,,,,,,,,
Selling General And Administration,,940000000.0,878000000.0,838000000.0,888000000.0,0066.HK,,,,,,,,,,,,,,
General And Administrative Expense,,940000000.0,878000000.0,838000000.0,888000000.0,0066.HK,,,,,,,,,,,,,,
Gross Profit,,10913000000.0,3651000000.0,4090000000.0,1189000000.0,0066.HK,,,,,,,,,,,,,,
Cost Of Revenue,,46069000000.0,44161000000.0,43112000000.0,41352000000.0,0066.HK,,,,,,,,,,,,,,
Total Revenue,,56982000000.0,47812000000.0,47202000000.0,42541000000.0,0066.HK,,,,,,,,,,,,,,
Operating Revenue,,56982000000.0,47812000000.0,47202000000.0,42541000000.0,0066.HK,,,,,,,,,,,,,,
Tax Effect Of Unusual Items,,-2219598.661156,11836916.43658,-3302355.385168,52586198.513952,0175.HK,,,,,,,,,,,,,,
Tax Rate For Calcs,,0.003015,0.006894,0.066914,0.134506,0175.HK,,,,,,,,,,,,,,
Normalized EBITDA,,14305906000.0,11737703000.0,11872678000.0,11708207000.0,0175.HK,,,,,,,,,,,,,,
Total Unusual Items,,-736189000.0,1716951000.0,-49352000.0,390959000.0,0175.HK,,,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,,-736189000.0,1716951000.0,-49352000.0,390959000.0,0175.HK,,,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,,5308408000.0,5260353000.0,4847448000.0,5533790000.0,0175.HK,,,,,,,,,,,,,,
Reconciled Depreciation,,8202762000.0,8318331000.0,6893322000.0,5491209000.0,0175.HK,,,,,,,,,,,,,,
Reconciled Cost Of Revenue,,151788523000.0,127069010000.0,84198821000.0,77376859000.0,0175.HK,,,,,,,,,,,,,,
EBITDA,,13569717000.0,13454654000.0,11823326000.0,12099166000.0,0175.HK,,,,,,,,,,,,,,
EBIT,,5366955000.0,5136323000.0,4930004000.0,6607957000.0,0175.HK,,,,,,,,,,,,,,
Net Interest Income,,544350000.0,380472000.0,280155000.0,208322000.0,0175.HK,,,,,,,,,,,,,,
Interest Expense,,417013000.0,454382000.0,264829000.0,166979000.0,0175.HK,,,,,,,,,,,,,,
Interest Income,,961363000.0,931161000.0,544984000.0,375301000.0,0175.HK,,,,,,,,,,,,,,
Normalized Income,,6042377401.338844,3555238916.43658,4893497644.614832,5195417198.513952,0175.HK,,,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,,5308408000.0,5260353000.0,4847448000.0,5533790000.0,0175.HK,,,,,,,,,,,,,,
Total Expenses,,175281308000.0,146514962000.0,98877529000.0,87335956000.0,0175.HK,,,,,,,,,,,,,,
Diluted Average Shares,,10130002011.0,10146990673.0,9886713130.0,9561259972.0,0175.HK,,,,,,,,,,,,,,
