"Date","Price","Open","High","Low","Vol.","Change %"
"15/01/2003","16.52","16.52","16.52","16.52","","-5.22%"
"14/01/2003","17.43","17.43","17.43","17.43","","0.00%"
"13/01/2003","17.43","17.43","17.43","17.43","","2.17%"
"10/01/2003","17.06","17.06","17.06","17.06","","-2.29%"
"09/01/2003","17.46","17.46","17.46","17.46","","-5.37%"
"08/01/2003","18.45","18.45","18.45","18.45","","-3.25%"
"07/01/2003","19.07","19.07","19.07","19.07","","1.11%"
"06/01/2003","18.86","18.86","18.86","18.86","","-0.95%"
"03/01/2003","19.04","19.04","19.04","19.04","","-0.94%"
"02/01/2003","19.22","19.22","19.22","19.22","","0.42%"
"31/12/2002","19.14","19.14","19.14","19.14","","-1.75%"
"30/12/2002","19.48","19.48","19.48","19.48","","16.23%"
"27/12/2002","16.76","16.76","16.76","16.76","","2.32%"
"24/12/2002","16.38","16.38","16.38","16.38","","-1.56%"
"23/12/2002","16.64","16.64","16.64","16.64","","-0.06%"
"20/12/2002","16.65","16.65","16.65","16.65","","-1.48%"
"19/12/2002","16.90","16.90","16.90","16.90","","-10.72%"
"18/12/2002","18.93","18.93","18.93","18.93","","3.39%"
"17/12/2002","18.31","18.31","18.31","18.31","","0.44%"
"16/12/2002","18.23","18.23","18.23","18.23","","2.65%"
"13/12/2002","17.76","17.76","17.76","17.76","","-2.15%"
"12/12/2002","18.15","18.15","18.15","18.15","","-0.93%"
"11/12/2002","18.32","18.32","18.32","18.32","","-3.38%"
"10/12/2002","18.96","18.96","18.96","18.96","","-0.89%"
"09/12/2002","19.13","19.13","19.13","19.13","","-0.57%"
"06/12/2002","19.24","19.24","19.24","19.24","","-2.04%"
"05/12/2002","19.64","19.64","19.64","19.64","","-1.11%"
"04/12/2002","19.86","19.86","19.86","19.86","","6.89%"
"03/12/2002","18.58","18.58","18.58","18.58","","-1.80%"
"02/12/2002","18.92","18.92","18.92","18.92","","2.83%"
"29/11/2002","18.40","18.40","18.40","18.40","","-1.76%"
"28/11/2002","18.73","18.73","18.73","18.73","","-4.34%"
"27/11/2002","19.58","19.58","19.58","19.58","","-3.17%"
"26/11/2002","20.22","20.22","20.22","20.22","","1.05%"
"25/11/2002","20.01","20.01","20.01","20.01","","-0.10%"
"22/11/2002","20.03","20.03","20.03","20.03","","0.60%"
"21/11/2002","19.91","19.91","19.91","19.91","","-6.08%"
"20/11/2002","21.20","21.20","21.20","21.20","","-3.77%"
"19/11/2002","22.03","22.03","22.03","22.03","","-2.35%"
"18/11/2002","22.56","22.56","22.56","22.56","","0.22%"
"15/11/2002","22.51","22.51","22.51","22.51","","-3.97%"
"14/11/2002","23.44","23.44","23.44","23.44","","-2.46%"
"13/11/2002","24.03","24.03","24.03","24.03","","-2.75%"
"12/11/2002","24.71","24.71","24.71","24.71","","-0.56%"
"11/11/2002","24.85","24.85","24.85","24.85","","0.89%"
"08/11/2002","24.63","24.63","24.63","24.63","","-1.68%"
"07/11/2002","25.05","25.05","25.05","25.05","","-1.57%"
"06/11/2002","25.45","25.45","25.45","25.45","","-0.86%"
"05/11/2002","25.67","25.67","25.67","25.67","","0.59%"
"04/11/2002","25.52","25.52","25.52","25.52","","-0.04%"
"01/11/2002","25.53","25.53","25.53","25.53","","-3.22%"
"31/10/2002","26.38","26.38","26.38","26.38","","1.85%"
"30/10/2002","25.90","25.90","25.90","25.90","","-0.88%"
"29/10/2002","26.13","26.13","26.13","26.13","","7.98%"
"28/10/2002","24.20","24.20","24.20","24.20","","0.08%"
"25/10/2002","24.18","24.18","24.18","24.18","","1.85%"
"24/10/2002","23.74","23.74","23.74","23.74","","1.67%"
"23/10/2002","23.35","23.35","23.35","23.35","","-4.03%"
"22/10/2002","24.33","24.33","24.33","24.33","","-2.68%"
"21/10/2002","25.00","25.00","25.00","25.00","","-0.04%"
"18/10/2002","25.01","25.01","25.01","25.01","","-2.27%"
"17/10/2002","25.59","25.59","25.59","25.59","","-2.07%"
"16/10/2002","26.13","26.13","26.13","26.13","","1.36%"
"15/10/2002","25.78","25.78","25.78","25.78","","-4.48%"
"11/10/2002","26.99","26.99","26.99","26.99","","-2.88%"
"10/10/2002","27.79","27.79","27.79","27.79","","-2.59%"
"09/10/2002","28.53","28.53","28.53","28.53","","-1.04%"
"08/10/2002","28.83","28.83","28.83","28.83","","-1.77%"
"07/10/2002","29.35","29.35","29.35","29.35","","3.13%"
"04/10/2002","28.46","28.46","28.46","28.46","","-0.73%"
"03/10/2002","28.67","28.67","28.67","28.67","","2.87%"
