Date,stock_id,price,ATR_14d,MA_Crossover_10_50,Mean_Reversion_20d,Normalized_BBW_20d_2std,Stochastic_Oscillator_14d,Volume_Momentum_50d
2022-08-19,0101.HK,11.185863494873047,0.2818149058986513,-0.6132764434814462,0.3579139709472656,0.12705720881354415,25.000013433388634,-5794596.0
2022-08-22,0101.HK,11.3720121383667,0.28223419611822814,-0.5987230682373053,0.14045839309692454,0.12240343265900275,49.99996609547655,-7214778.0
2022-08-23,0101.HK,11.20278549194336,0.2765797142657589,-0.6095536613464354,0.26483998298644984,0.11510211810493894,27.272654897575446,-5203837.0
2022-08-24,0101.HK,10.898178100585938,0.28341672563319414,-0.6180150222778309,0.5085258007049553,0.11082762543278797,7.4073972221372175,-2057664.0
2022-08-25,0101.HK,10.864333152770996,0.2800952947720744,-0.643399085998535,0.46875724792480433,0.08939515607852307,16.393419834216633,-4766980.0
2022-08-26,0101.HK,11.135095596313477,0.28426369732478834,-0.6403529739379881,0.15061144828796458,0.06561438021257278,42.622940782807426,-6488820.0
2022-08-29,0101.HK,11.101250648498535,0.27967301861593225,-0.6288455009460439,0.16922602653503382,0.06645293557638826,50.00001256209755,-94254970.0
2022-08-30,0101.HK,11.101250648498535,0.283871548989953,-0.6166611671447768,0.15907244682312083,0.06777059141834807,53.3333852583864,-15564723.0
2022-08-31,0101.HK,11.067405700683594,0.2768913849602458,-0.6092151069641112,0.1810715675354011,0.06941661406076004,48.88898388825565,-3573372.0
2022-09-01,0101.HK,11.135095596313477,0.27524483814848405,-0.6037998771667485,0.09730515480041468,0.06778342116600827,57.77778662851715,-3663268.0
2022-09-02,0101.HK,11.185863494873047,0.2725071713865466,-0.584846534729003,0.024537849426270242,0.0593716530522464,64.444451300318,-2884848.0
2022-09-05,0101.HK,10.999714851379395,0.27117373999254163,-0.5983845901489246,0.1869947910308838,0.05742060501600318,40.00005591478471,-4213320.0
2022-09-06,0101.HK,11.050482749938965,0.26389183157821205,-0.5790926742553726,0.11253519058227468,0.05089638676139695,46.666720586585555,-5140789.0
2022-09-07,0101.HK,11.033559799194336,0.25833878942999905,-0.530355434417725,0.11930456161499059,0.05155557790947966,44.44445728491546,-5068449.0
2022-09-08,0101.HK,11.236631393432617,0.25801737048266843,-0.46604938507080007,-0.09138226509094238,0.04820277141230433,71.11111597211884,-3616367.0
2022-09-09,0101.HK,11.425337791442871,0.2628695272384213,-0.41372306823730476,-0.2748839855194092,0.05137334014814498,84.17918219690083,-3149643.0
2022-09-13,0101.HK,11.7169771194458,0.27227671928810276,-0.33975790023803754,-0.5408137321472175,0.06843463823269773,90.84896954692003,690947.0
2022-09-14,0101.HK,11.596891403198242,0.26753285307453406,-0.2764149475097657,-0.40271501541137766,0.0760895158816684,80.17279577197273,2046198.0
2022-09-15,0101.HK,11.493958473205566,0.2704799798912334,-0.217922134399414,-0.28860797882080114,0.07952996701128144,65.88967345932313,234132.0
2022-09-16,0101.HK,11.699821472167969,0.27321659845760116,-0.15243690490722628,-0.47469601631164515,0.08842549018327005,86.7279386540276,826462.0
2022-09-19,0101.HK,11.614044189453125,0.2745324038204718,-0.09516765594482379,-0.3675096988677975,0.09340809523043622,75.81053543613254,112081.0
2022-09-20,0101.HK,11.648355484008789,0.26595128405303586,-0.02127696990966932,-0.3880038261413574,0.09821443426377066,79.53209366246675,-1029615.0
2022-09-21,0101.HK,11.614044189453125,0.2665607021618576,0.04106903076171875,-0.33312959671020437,0.10178831177221453,75.81053543613254,1284310.0
2022-09-22,0101.HK,11.408183097839355,0.273253353017786,0.08660772323608334,-0.10176825523376465,0.09679994569505655,53.48191015694165,555756.0
2022-09-23,0101.HK,11.373873710632324,0.2672142714745441,0.10706378936767535,-0.04198184013366735,0.08939358699446098,49.7605588102687,-2596121.0
